id,rated,turns,victory_status,winner,increment_code,white_rating,black_rating,first_move,opening_eco,opening_name,opening_ply
QFCZwY1f,FALSE,3,resign,white,30+60,1094,1068,d4,A40,Horwitz Defense,2
5cgBygpI,FALSE,17,resign,white,15+5,1500,1094,e4,B20,Sicilian Defense: Bowdler Attack,3
UhXXBOMY,TRUE,36,resign,white,10+0,1307,1106,c4,A25,English Opening: King's English Variation |  Reversed Closed Sicilian,4
mCij4hBq,TRUE,13,resign,black,10+0,1113,1423,e4,B21,Sicilian Defense: Smith-Morra Gambit #2,3
ifUMWtVj,TRUE,69,mate,white,10+10,1078,1219,d4,D01,Queen's Pawn Game: Chigorin Variation,4
Wf0zuLQQ,TRUE,43,resign,white,10+10,1825,1079,e4,C45,Scotch Game: Haxo Gambit,8
srz9QfSN,TRUE,54,mate,black,10+10,1328,1038,d4,D01,Queen's Pawn Game: Chigorin Variation,4
NS6ccssb,TRUE,53,resign,black,10+10,1056,1156,d4,D10,Slav Defense,4
M3vpf2Ki,TRUE,66,mate,black,10+10,1077,1148,d4,D06,Queen's Gambit Refused: Marshall Defense,4
fXhNOnOn,TRUE,64,resign,black,10+10,1358,1036,e4,B21,Sicilian Defense: Smith-Morra Gambit #2,3
DiCTkvZH,TRUE,64,mate,black,10+10,1200,1002,e4,B52,Sicilian Defense: Canal Attack |  Main Line,6
FSkgvV2E,TRUE,54,resign,white,10+10,1203,1019,e4,B27,Sicilian Defense,3
F1mRjzPr,FALSE,21,resign,black,15+3,1019,1500,d4,D20,Queen's Gambit Accepted: Central Variation |  Greco Variation,6
Lq24M4KQ,FALSE,11,resign,white,18+0,1422,975,e4,B20,Sicilian Defense: Bowdler Attack,3
lHNM8cl5,TRUE,19,resign,black,10+0,976,1832,d4,B06,Robatsch (Modern) Defense,4
GfeEgLV3,TRUE,28,resign,white,10+0,1569,978,d4,D00,Blackmar-Diemer Gambit: Tartakower Variation,10
OR6aULrW,FALSE,22,resign,black,15+0,978,1500,d4,A45,Indian Game,2
Yg006qwa,FALSE,37,resign,white,15+0,1500,978,e4,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
G5S21pXK,FALSE,34,resign,white,30+30,2449,978,c4,A21,English Opening: King's English Variation |  Reversed Sicilian,3
R9a2DLwe,FALSE,32,draw,draw,20+25,1207,978,e4,B70,Sicilian Defense: Dragon Variation,10
r4LcBZA7,FALSE,71,resign,black,5+5,1241,978,e4,B23,Sicilian Defense: Closed Variation,3
SDDXGw21,FALSE,30,resign,white,30+0,1500,978,e4,B21,Sicilian Defense: Smith-Morra Gambit #2,3
oqoT4DLS,FALSE,66,resign,white,40+40,2443,978,e4,B76,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,17
eSociDPG,FALSE,41,resign,white,20+0,1500,978,e4,B21,Sicilian Defense: Smith-Morra Gambit #2,3
mpzYDfIK,FALSE,49,resign,white,15+0,1500,978,e4,B20,Sicilian Defense: Bowdler Attack,3
27zreJYy,FALSE,3,resign,black,15+0,978,1500,e4,B01,Scandinavian Defense,2
IRYkgI8N,FALSE,7,resign,white,10+0,1343,978,e4,B20,Sicilian Defense: Bowdler Attack,3
tLnhk43J,FALSE,35,mate,white,40+40,2436,978,e4,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
iq3Kz06t,FALSE,41,mate,white,40+40,2436,978,e4,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
AAw1TiNN,FALSE,5,resign,black,10+0,978,1500,d4,C00,French Defense: Normal Variation,3
n4vRYUCW,FALSE,7,resign,white,10+0,1500,978,e4,C21,King's Pawn Game: Beyer Gambit,4
KYPdQv8e,FALSE,53,mate,white,10+0,978,1500,d4,A80,Dutch Defense,2
p30PeXvE,FALSE,36,resign,black,10+0,1500,978,c4,A20,English Opening: King's English Variation,2
PBS4FEld,TRUE,8,resign,white,16+0,1521,1162,Nf3,A04,Zukertort Opening: Ross Gambit,2
0lDqWVlz,TRUE,3,resign,white,6+10,1407,1500,e4,B23,Sicilian Defense: Closed Variation,3
O3wdIwg7,TRUE,28,resign,white,10+0,1492,1458,e4,C26,Vienna Game: Mengarini Variation,5
48ktrxLp,TRUE,30,resign,black,10+0,1414,1442,e4,C41,Philidor Defense: Larsen Variation,8
i2GBGO0R,TRUE,44,resign,black,10+0,1457,1294,e4,C44,Scotch Game,5
QZSTu1aT,TRUE,29,resign,white,10+0,1525,1466,e4,C41,Philidor Defense: Lopez Countergambit,6
9tU9MM6P,TRUE,37,resign,black,8+10,1207,1579,e4,C00,French Defense: Knight Variation,3
ztpC1S2c,TRUE,49,resign,white,8+12,1567,1573,d4,A40,Modern Defense,2
qc8aH5XL,TRUE,32,resign,black,8+12,1578,1605,d4,A40,Horwitz Defense,2
6sTz6t7D,TRUE,25,resign,white,8+12,1939,1581,d4,E10,Blumenfeld Countergambit #2,6
XuyVUkDi,TRUE,40,mate,black,5+10,1618,1568,e4,C00,French Defense #2,2
D5Oa4vGO,TRUE,39,resign,white,7+12,1755,1574,Nf3,A04,Zukertort Opening: Kingside Fianchetto,2
6QAiH2Yy,TRUE,57,resign,white,15+10,1561,1596,d4,A45,Indian Game,2
l7top9ps,TRUE,78,resign,black,5+40,1500,1554,e4,C00,French Defense: Queen's Knight,3
nG3Of11I,TRUE,61,resign,white,15+5,1544,1461,d4,D00,Queen's Pawn Game: Mason Attack,3
cUzM68JF,TRUE,44,resign,black,20+5,1563,1335,d4,D00,Queen's Pawn Game: Mason Attack,3
NZSBXWl2,TRUE,62,mate,black,20+5,1579,1470,d4,A41,Queen's Pawn,2
DHuXFP6C,TRUE,87,mate,white,20+5,1617,1590,d4,A45,Indian Game,2
00R4UOcU,TRUE,54,mate,black,20+5,1207,1588,e4,C02,French Defense: Advance |  Steinitz Variation,7
IN15cBnB,TRUE,54,resign,black,15+5,1595,1547,d4,D00,Queen's Pawn Game: Mason Attack,3
WYOts2ME,TRUE,37,resign,white,15+5,1855,1599,e4,C01,French Defense: Exchange Variation,5
oWFQ8mnz,TRUE,50,resign,white,15+5,1589,1547,d4,A40,Horwitz Defense,2
i2I8y9Xh,TRUE,131,resign,white,30+0,1571,1728,d4,D02,Queen's Pawn Game: London System,5
osPCRdxJ,TRUE,48,resign,white,30+0,1720,1579,e4,C00,French Defense: Chigorin Variation,3
Mi1AmkiI,TRUE,47,resign,black,15+5,1579,2105,d4,D02,Queen's Pawn Game: London System,5
7kK30TmL,TRUE,64,mate,black,15+5,1768,1560,e4,C00,French Defense: La Bourdonnais Variation,3
ThCXomTn,TRUE,61,resign,white,15+5,1552,1436,d4,D00,Queen's Pawn Game: Mason Attack,3
4dH72B3d,TRUE,57,mate,white,15+5,1536,1667,d4,D02,Queen's Pawn Game: London System,5
4jRtIZTy,TRUE,51,resign,white,15+5,1521,1549,c4,A10,English Opening: Anglo-Lithuanian Variation,2
wNK2HdLb,TRUE,58,mate,black,15+5,1251,1545,a4,A00,Crab Opening,3
d62Tg4dc,TRUE,71,resign,white,15+5,1537,1408,d4,D00,Queen's Pawn Game: Mason Attack,3
TaSQfvww,TRUE,114,resign,white,15+5,1522,1512,d4,A40,Queen's Pawn,1
Xwpzq87m,TRUE,39,resign,white,15+5,1602,1532,e4,C18,French Defense: Winawer Variation |  Advance Variation #2,11
AHmgnsKz,TRUE,20,resign,black,15+5,1543,1593,d4,D02,Queen's Pawn Game: London System,5
MfNml1rl,TRUE,48,resign,black,30+0,1556,1539,d4,D00,Queen's Pawn Game: Mason Attack,3
mEAvshF2,TRUE,34,mate,black,20+10,1409,1548,e4,C00,French Defense: Knight Variation,3
ySsVdRfw,TRUE,51,resign,white,20+10,1539,1418,d4,D02,Queen's Pawn Game: London System,5
ylLqmXwb,TRUE,69,resign,white,20+10,1603,1550,e4,C00,French Defense: Queen's Knight,3
8mceLIXN,TRUE,28,resign,white,20+10,1542,1399,d4,D00,Queen's Pawn Game: Steinitz Countergambit,4
YmJpuJkM,TRUE,62,resign,black,20+10,1546,1877,d4,D02,Queen's Pawn Game: London System,5
PNNfempy,TRUE,62,mate,black,20+10,1134,1535,d4,A47,Queen's Indian Defense,4
TVfozmF5,TRUE,85,mate,white,20+10,1513,1784,d4,A40,Horwitz Defense,2
4LX77G3m,TRUE,38,resign,white,20+10,1501,1445,d4,D02,Queen's Pawn Game: London System,5
nBfSissu,FALSE,14,resign,white,45+0,1500,1500,e4,C50,Italian Game: Giuoco Pianissimo |  Normal,8
h1unxHlo,TRUE,113,draw,draw,15+0,1745,1714,d4,D06,Queen's Gambit Refused: Marshall Defense,4
OIyTAHCP,TRUE,62,resign,white,15+0,1734,1748,d4,D06,Queen's Gambit Refused: Marshall Defense,4
bnCnIJSz,TRUE,101,resign,white,10+0,1942,1739,e4,C10,French Defense: Marshall Variation,6
ZzWyY1f8,TRUE,75,outoftime,white,10+0,1724,1855,e4,C45,Scotch Game,7
mkKSL3Ev,TRUE,135,mate,white,10+0,1951,1729,e4,C02,French Defense: Advance Variation |  Main Line,11
aVwWNjNR,TRUE,81,outoftime,white,10+0,1726,1388,e4,C41,Philidor Defense,5
DNUmSBH4,TRUE,46,resign,black,10+0,1735,1806,d4,D80,Gruenfeld Defense,6
Tlng5eqN,TRUE,70,mate,black,10+0,1597,1728,e4,C00,French Defense: Knight Variation,3
wljkejE0,TRUE,39,resign,white,10+0,1743,1738,e4,C10,French Defense: Rubinstein Variation |  Fort Knox Variation,10
iNZuj8bY,TRUE,91,resign,white,10+0,1721,1750,d4,D30,Queen's Gambit Declined: Traditional Variation,7
Kan2JKOp,TRUE,137,outoftime,white,10+0,1746,1487,d4,D20,Queen's Gambit Accepted: Old Variation,5
bCUwPEJ7,TRUE,46,resign,black,10+0,1744,1735,e4,C02,French Defense: Advance Variation |  Paulsen Attack,9
zTwM10Si,TRUE,18,resign,black,10+0,1749,1631,d4,D41,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,9
PBQ5Il7e,TRUE,28,resign,black,10+0,1769,1396,d4,D20,Queen's Gambit Accepted: Old Variation,5
z1LTn4pe,TRUE,40,resign,black,5+8,1795,1760,d4,A46,Yusupov-Rubinstein System,5
7NKtCk3B,TRUE,111,mate,white,15+0,1729,1795,d4,D31,Queen's Gambit Declined: Queen's Knight Variation,5
TMtvbg3w,TRUE,54,mate,black,10+0,1795,1784,e4,C64,Ruy Lopez: Classical Variation,6
0OXPfTEt,TRUE,33,resign,white,10+0,1770,1872,d4,D02,Queen's Pawn Game: Zukertort Variation,3
YzMf40DM,TRUE,90,resign,black,10+0,1783,1721,d4,D02,Queen's Pawn Game: London System,5
q3NHAFFp,TRUE,90,resign,black,10+0,1884,1768,e4,C64,Ruy Lopez: Classical Variation |  Central Variation,7
Gz7Icasx,TRUE,40,mate,black,10+0,1756,1756,e4,C24,Bishop's Opening: Ponziani Gambit,5
3n4poRIX,TRUE,49,outoftime,white,8+0,1724,1958,d4,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,5
XRuQPSzH,TRUE,50,resign,black,10+0,2036,1706,Nf3,A08,King's Indian Attack: French Variation,6
XPZikam7,TRUE,59,mate,white,10+0,1706,925,d4,D02,Queen's Pawn Game: London System,5
5SNh53F9,TRUE,26,outoftime,black,15+15,1244,1219,d4,B00,Nimzowitsch Defense: Mikenas Variation,4
ezdEKpqG,TRUE,23,mate,white,15+15,1215,921,e4,C50,Italian Game,5
WyQjriEX,TRUE,118,mate,black,15+15,1350,1201,e4,B03,Alekhine Defense #2,5
vAOIY0jj,TRUE,66,mate,black,15+15,1210,1280,e4,B29,Sicilian Defense: Nimzowitsch Variation,4
gHld9WSr,TRUE,120,draw,draw,15+15,1139,1212,e4,C50,Four Knights Game: Italian Variation,8
dh2xQb3X,TRUE,36,mate,black,15+15,1220,1341,e4,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
TKwuIzb6,TRUE,26,mate,black,15+15,1234,1359,e4,C55,Italian Game: Anti-Fried Liver Defense,6
s752sCLr,TRUE,62,resign,black,15+15,1275,1236,e4,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
lKYmVLZt,TRUE,37,resign,white,15+15,1433,1282,e4,B02,Alekhine Defense: Maroczy Variation,3
dRhehsEy,TRUE,24,resign,black,15+15,1132,1276,d4,D06,Queen's Gambit Refused: Marshall Defense,4
7rbdtPwO,FALSE,47,resign,white,30+2,1276,1308,e4,C55,Italian Game: Anti-Fried Liver Defense,6
ahwTovI0,TRUE,37,resign,black,15+15,1228,1266,e4,B02,Alekhine Defense: Two Pawn Attack |  Lasker Variation,7
fgK91ojo,TRUE,24,resign,black,15+15,1273,1409,e4,B13,Caro-Kann Defense: Exchange Variation,5
Cmhkui8U,TRUE,9,resign,white,15+15,1338,1277,d4,D00,Queen's Pawn Game #2,3
TRpFAEWd,TRUE,47,mate,white,15+15,1263,1336,e4,B57,Sicilian Defense: Modern Variations |  Main Line,8
btHFH9xr,TRUE,85,mate,white,15+15,1316,1273,c4,A20,English Opening: King's English Variation,2
G9xaiPFl,TRUE,39,mate,white,15+15,1248,1253,e4,B00,Goldsmith Defense,2
RkMlSx4r,TRUE,58,mate,black,15+15,1335,1233,d4,E20,Nimzo-Indian Defense,6
Z1CTghfR,TRUE,95,mate,white,15+15,1223,1189,e4,C57,Italian Game: Two Knights Defense |  Fried Liver Attack,11
X4QqWp8Q,TRUE,2,resign,black,15+15,1443,1204,e4,B02,Alekhine Defense,2
R6dF4yRx,TRUE,97,mate,white,15+15,1227,1216,d4,D06,Queen's Gambit Refused: Marshall Defense,4
PLxCc87r,TRUE,12,draw,draw,15+15,1215,1219,e4,C50,Italian Game,5
p7a4FGwp,TRUE,30,resign,white,15+15,1227,1227,e4,C50,Four Knights Game: Italian Variation,8
3udM9T6k,TRUE,43,mate,white,10+0,1550,1225,d4,E11,Bogo-Indian Defense: Exchange Variation,8
hkMNenrh,TRUE,11,resign,white,15+15,1325,1234,e4,B02,Alekhine Defense,2
jrmlULM0,TRUE,72,mate,black,15+15,1212,1221,e4,B02,Alekhine Defense: Saemisch Attack,5
JbLparSt,TRUE,156,mate,black,15+15,1226,1478,e4,C40,King's Knight Opening,3
mqZFkCf3,TRUE,18,resign,black,25+0,1228,1626,d4,D30,Queen's Gambit Declined,4
dZn9WLT5,FALSE,77,mate,white,10+2,1191,1228,d4,C11,French Defense: Classical Variation |  Steinitz Variation,7
MgL176RS,TRUE,32,resign,black,30+0,1422,1210,e4,B02,Alekhine Defense: Two Pawn Attack,5
V16nc5AF,TRUE,35,resign,white,15+15,1186,1223,e4,C28,Vienna Game: Vienna Gambit,5
GT8TdRlm,TRUE,85,mate,white,15+15,1212,1212,e4,B06,Modern Defense,2
2P2u5f63,TRUE,50,resign,black,15+15,1228,1343,e4,B01,Scandinavian Defense: Panov Transfer,6
15nlkNRf,TRUE,111,resign,white,10+10,1865,1862,Nf3,A46,Yusupov-Rubinstein System,5
xwl41jna,TRUE,65,outoftime,white,7+2,1852,1852,e4,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
1zRjgcqm,TRUE,73,resign,white,15+0,1833,1863,d4,A56,Benoni Defense,4
vfnLULoh,TRUE,125,resign,white,15+0,1851,1918,e4,B27,Sicilian Defense: Hyperaccelerated Dragon,4
ut6LIGPI,TRUE,76,resign,black,15+0,1861,1844,e4,C55,Italian Game: Anti-Fried Liver Defense,6
1KbSJtjs,TRUE,65,outoftime,white,10+0,1853,1774,e4,C65,Ruy Lopez: Berlin Defense #2,6
cqrATt9o,TRUE,41,mate,white,10+0,1910,1862,e4,B90,Sicilian Defense: Najdorf |  Lipnitsky Attack,11
deKfSOPy,TRUE,59,resign,white,10+0,1851,1890,e4,C00,French Defense: Knight Variation,3
vQ1psjxd,TRUE,70,resign,black,15+5,1860,1840,e4,B50,Sicilian Defense: Delayed Alapin,5
k1qV5HHz,TRUE,34,resign,white,25+25,1828,1848,e4,B51,Sicilian Defense: Canal-Sokolsky Attack,5
QQ3iIM2V,TRUE,69,outoftime,white,8+0,1855,1858,Nh3,E00,Amar Opening,1
GppFo58m,TRUE,63,resign,white,10+10,1847,1895,e4,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8
BoDJGVyk,TRUE,107,resign,white,10+10,1885,1856,e4,B50,Sicilian Defense,4
tqirXAEm,TRUE,58,resign,white,30+0,1847,1802,d4,A40,Queen's Pawn,1
GLC4oNZR,FALSE,34,resign,black,20+5,1847,1856,e4,B11,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation,6
3eLsB99C,TRUE,100,outoftime,black,15+0,1840,1837,e4,B22,Sicilian Defense: Alapin Variation,3
M6zMVwqK,TRUE,80,resign,black,5+5,1848,1806,e4,B40,Sicilian Defense: French Variation,4
yrQWTJVz,TRUE,44,resign,black,15+0,1860,1820,e4,C00,French Defense: Knight Variation,3
aF6DiZZe,TRUE,40,outoftime,black,10+0,1854,1849,d4,A45,Paleface Attack,3
0dm3RaQv,TRUE,105,outoftime,white,10+0,1895,1859,e4,B50,Sicilian Defense,4
BxxAvvER,TRUE,50,resign,black,15+0,1866,1965,e4,B31,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,6
fPPfEuu5,FALSE,144,outoftime,draw,10+0,1866,1843,e4,B50,Sicilian Defense,4
Hysqcekp,FALSE,81,resign,black,10+0,1835,1866,e4,B18,Caro-Kann Defense: Classical Variation |  Flohr Variation,11
oaKcGCrO,TRUE,69,resign,black,15+0,1877,1860,e4,C61,Ruy Lopez: Bird Variation,6
xMezmOBz,TRUE,77,mate,white,7+8,1849,1874,e4,B90,Sicilian Defense: Najdorf Variation |  Adams Attack,11
46AuHfcq,TRUE,158,mate,black,6+6,1835,1865,d4,E10,Blumenfeld Countergambit #2,6
A7ddojjI,TRUE,107,draw,draw,15+5,1866,1835,e4,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
SGqoxO3v,TRUE,117,mate,white,15+0,1856,1829,e4,C78,Ruy Lopez: Morphy Defense #2,12
pHJ5zXyE,TRUE,44,resign,white,10+0,1845,1846,e4,C70,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,8
WqMvA7iE,TRUE,40,resign,black,15+0,1834,1835,e4,B30,Sicilian Defense: Old Sicilian,4
s3v6jMaX,TRUE,59,resign,white,15+5,1846,1845,e4,B10,Caro-Kann Defense,2
hl3zLZmV,FALSE,110,resign,black,10+0,1845,1917,d4,D06,Queen's Gambit Refused: Marshall Defense,4
PHYPEO42,TRUE,30,resign,black,15+0,1858,1790,e4,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
NgZ8xxFe,TRUE,54,resign,black,10+0,1871,1847,e4,B30,Sicilian Defense: Old Sicilian,4
1ZeBVc5V,TRUE,69,resign,black,10+0,1846,1869,e4,C41,Philidor Defense,5
OmwDxZpJ,TRUE,178,mate,black,16+0,1843,1836,e4,B22,Sicilian Defense: Alapin Variation,3
JewxmuG9,TRUE,136,resign,black,15+0,1800,1826,e4,B20,Sicilian Defense,2
0gTDO6Av,FALSE,124,mate,black,8+0,1283,1267,e4,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
t7vvcwqO,TRUE,96,resign,black,10+4,1290,1270,g3,A00,Hungarian Opening,1
igSDFKv0,TRUE,53,outoftime,white,12+0,1331,1281,d4,D00,Queen's Pawn Game #3,4
facMwkUo,TRUE,39,mate,white,10+0,1304,1292,e3,A00,Van't Kruijs Opening,1
j5KY62yS,TRUE,10,mate,black,10+0,1305,1293,e4,C00,French Defense: Normal Variation,3
nyYULwUl,TRUE,51,mate,white,10+0,1308,1317,e4,C22,Center Game: Berger Variation,8
h0YsGMhj,TRUE,18,resign,black,15+0,1296,1305,e4,C54,Italian Game: Giuoco Piano |  Greco's Attack,13
o4T7dj5h,FALSE,106,mate,black,30+0,968,1305,e4,C50,Four Knights Game: Italian Variation,8
VgNt0SSX,FALSE,38,mate,black,15+15,1293,1466,e4,C41,Philidor Defense #3,5
UvqLtnPM,TRUE,59,mate,white,7+2,1500,1299,e4,C68,Ruy Lopez: Exchange Variation,7
1b0kpInt,TRUE,111,mate,white,7+2,1288,1232,e4,B12,Caro-Kann Defense,3
dJEtAQp7,TRUE,28,resign,black,7+2,1289,2108,e4,C77,Ruy Lopez: Morphy Defense |  Tarrasch Variation,9
ZPHBiKBY,FALSE,101,outoftime,white,7+2,1431,1289,e4,C22,Center Game: Normal Variation,6
I8odmGjb,FALSE,15,mate,white,7+2,1806,1289,e4,C45,Scotch Game,7
DijZlfMy,FALSE,42,resign,white,7+2,1289,1311,e4,C41,Philidor Defense #3,5
LyRqbD4d,FALSE,118,resign,black,7+2,1431,1289,e3,A40,Englund Gambit Declined |  Reversed French,3
CvakmVNb,FALSE,34,resign,black,7+2,1289,1484,e4,C50,Giuoco Piano,6
O037dETy,FALSE,60,resign,black,7+2,1289,1810,e4,A42,Sicilian Defense: Hyperaccelerated Fianchetto,5
CxQlHSnq,FALSE,66,resign,black,7+2,1806,1289,e4,C44,Scotch Game,5
Q0jogkvi,FALSE,21,outoftime,white,5+8,1289,1500,e4,C41,Philidor Defense #3,5
QurxyQkA,TRUE,73,mate,white,15+1,1409,1297,e4,C70,Ruy Lopez: Morphy Defense |  Caro Variation,8
mJ9VpdxV,TRUE,159,mate,white,15+1,1280,1485,e4,C55,Italian Game: Anti-Fried Liver Defense,6
edYOVb5F,FALSE,74,resign,white,15+0,1280,1211,e4,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
GstYv2mJ,FALSE,28,mate,black,15+0,1211,1280,h4,A00,Crab Opening,3
dFQ5D7CS,TRUE,112,mate,black,10+0,1281,1765,e4,C41,Philidor Defense #4,6
2FpFvoMt,TRUE,104,resign,black,15+1,1288,1454,e4,C42,Petrov's Defense,4
cywOBEY5,TRUE,40,mate,black,15+1,1560,1270,d4,D07,Queen's Gambit Refused: Chigorin Defense #2,5
pnU8dLUx,TRUE,44,mate,black,15+1,1274,1534,e4,B27,Sicilian Defense: Jalalabad Variation,4
lE65efFF,TRUE,150,draw,draw,15+1,1259,1663,e4,C55,Italian Game: Anti-Fried Liver Defense,6
bCVL4bZl,TRUE,60,mate,black,10+0,1614,1238,d4,D02,Queen's Pawn Game: London System,5
WUyPeYW8,TRUE,37,mate,white,10+0,1221,1417,e4,C02,French Defense: Advance Variation |  Milner-Barry Gambit,11
xRY7h8aS,TRUE,88,outoftime,black,10+0,1222,1732,e4,B32,Sicilian Defense: Open #3,7
92UGyHOr,TRUE,113,mate,white,10+0,1232,1234,e4,C68,Ruy Lopez: Exchange Variation,7
UqxaqU7R,TRUE,55,mate,white,20+5,1240,1219,e4,C42,Russian Game: Damiano Variation |  Kholmov Gambit,8
TTzZc8gW,TRUE,135,mate,white,10+0,1590,1600,c4,A22,English Opening: Carls-Bremen System,5
F7oADKYb,TRUE,137,draw,draw,10+0,1568,1617,e4,C50,Italian Game,5
GoYkQEoS,TRUE,97,outoftime,white,10+0,1500,1358,e4,C46,Four Knights Game,6
DszY6Pr4,FALSE,33,resign,black,10+2,1384,1325,e4,B07,Pirc Defense #4,2
FhJcOzZW,FALSE,29,resign,black,30+0,1384,1265,Nf3,A06,Zukertort Opening: Old Indian Attack,3
kKFslhlg,FALSE,55,resign,black,2+10,1384,1950,Nf3,A04,Zukertort Opening: Sicilian Invitation,2
VVkKGe4E,TRUE,91,resign,white,20+10,1377,1249,e4,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
11VaOez1,TRUE,53,resign,white,9+0,1375,1389,e4,C20,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,4
2akR3Bit,TRUE,49,mate,white,10+2,1378,1361,e4,C41,Philidor Defense,5
mG2dEz4z,TRUE,48,mate,black,10+2,1261,1371,e4,B07,King's Pawn Game: Maroczy Defense,4
xrZnbIGD,TRUE,20,resign,black,10+9,1380,1429,e4,B30,Sicilian Defense: Old Sicilian,4
lOU3lddA,TRUE,87,mate,white,10+0,1369,1368,e4,C42,Russian Game: Damiano Variation,6
xYEVgk0W,TRUE,11,resign,white,10+0,1290,1371,e4,C77,Ruy Lopez: Morphy Defense |  Mackenzie Variation,9
QnXuc72h,TRUE,110,draw,draw,15+3,1372,1326,e4,B00,St. George Defense,2
ejaSwZEr,TRUE,24,resign,white,6+7,1361,1383,e3,A00,Van't Kruijs Opening,1
3ZfA3gFa,TRUE,23,resign,white,15+15,1217,1399,c4,A22,English Opening: King's English Variation |  Two Knights Variation,4
WoOqoYEL,TRUE,81,mate,white,15+30,1387,1447,e4,C60,Ruy Lopez,5
EgoW2NiE,FALSE,34,resign,black,20+0,1474,1387,e4,B01,Scandinavian Defense,2
ZctgRAt4,TRUE,103,mate,white,15+2,1377,1351,Nf3,C41,Philidor Defense #2,4
VuZ0dzhO,TRUE,29,resign,black,30+10,1389,1339,e4,C40,King's Pawn Game: McConnell Defense,4
1cvi4Z6K,FALSE,22,resign,black,30+15,1389,1400,e4,C41,Philidor Defense #2,4
E83xJFBo,FALSE,38,resign,white,10+0,1849,1389,e4,C44,Scotch Game,5
hVSNfLer,TRUE,46,mate,black,8+0,1395,1378,e4,C50,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9
XyM6zTew,TRUE,23,outoftime,white,5+5,1370,1257,e4,C61,Ruy Lopez: Bird Variation,6
